frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
2018,2736,4096,4549,7702266,1273,0,0,0,318.900,0.000
2019,2736,4096,4555,7704816,1275,0,0,0,319.200,0.000
2020,2736,4096,4561,7707366,1277,0,0,0,319.500,0.000
2021,2736,4096,4567,7709916,1279,0,0,0,319.800,0.000
2022,2736,4096,4573,7712466,1281,0,0,0,320.200,0.000
2023,2736,4096,4579,7715016,1283,0,0,0,320.500,0.000
2024,2736,4096,4585,7717566,1285,0,0,0,320.700,0.000
2025,2736,4096,4591,7720116,1287,0,0,0,320.900,0.000
2026,2736,4096,4597,7722666,1289,0,0,0,321.200,0.000
2027,2736,4096,4603,7725216,1291,0,0,0,321.500,0.000
2028,2736,4096,4609,7727766,1293,0,0,0,321.800,0.000
2029,2736,4096,4615,7730316,1295,0,0,0,322.200,0.000
2030,2736,4096,4621,7732866,1297,0,0,0,322.600,0.000
2031,2736,4096,4627,7735416,1299,0,0,0,322.900,0.000
2032,2736,4096,4633,7737966,1301,0,0,0,323.500,0.000
2033,2736,4096,4639,7740516,1303,0,0,0,323.700,0.000
2034,2736,4096,4645,7743066,1305,0,0,0,324.100,0.000
2035,2736,4096,4651,7745616,1307,0,0,0,324.500,0.000
2036,2736,4096,4657,7748166,1309,0,0,0,324.800,0.000
2037,2736,4096,4663,7750716,1311,0,0,0,325.100,0.000
2038,2736,4096,4669,7753266,1313,0,0,0,325.500,0.000
2039,2736,4096,4675,7755816,1315,0,0,0,325.800,0.000
2040,2736,4096,4681,7758366,1317,0,0,0,326.100,0.000
2041,2736,4096,4687,7760916,1319,0,0,0,326.300,0.000
2042,2736,4096,4693,7763466,1321,0,0,0,326.600,0.000
2043,2736,4096,4699,7766016,1323,0,0,0,326.900,0.000
2044,2736,4096,4705,7768566,1325,0,0,0,327.200,0.000
2045,2736,4096,4711,7771116,1327,0,0,0,327.600,0.000
2046,2736,4096,4718,7773666,1329,0,0,0,328.100,0.000
2047,2736,4096,4724,7776216,1331,0,0,0,328.500,0.000
2048,2736,4096,4730,7778766,1333,0,0,0,328.800,0.000
2049,2736,4096,4736,7781316,1335,0,0,0,329.000,0.000
2050,2736,4096,4742,7783866,1337,0,0,0,329.400,0.000
2051,2736,4096,4749,7786416,1339,0,0,0,330.000,0.000
2052,2736,4096,4756,7788966,1341,0,0,0,331.800,0.000
2053,2736,4096,4762,7791516,1343,0,0,0,332.200,0.000
2054,2736,4096,4768,7794066,1345,0,0,0,332.500,0.000
2055,2736,4096,4774,7796616,1347,0,0,0,332.700,0.000
2056,2736,4096,4780,7799166,1349,0,0,0,333.000,0.000
2057,2736,4096,4786,7801716,1351,0,0,0,333.200,0.000
2058,2736,4096,4792,7804266,1353,0,0,0,333.500,0.000
2059,2736,4096,4798,7806816,1355,0,0,0,333.800,0.000
2060,2736,4096,4804,7809366,1357,0,0,0,334.100,0.000
2061,2736,4096,4811,7811916,1359,0,0,0,334.400,0.000
2062,2736,4096,4817,7814466,1361,0,0,0,334.800,0.000
2063,2736,4096,4823,7817016,1363,0,0,0,335.100,0.000
2064,2736,4096,4829,7819566,1365,0,0,0,335.500,0.000
2065,2736,4096,4836,7822116,1367,0,0,0,337.900,0.000
2066,2736,4096,4842,7824666,1369,0,0,0,338.400,0.000
2067,2736,4096,4848,7827216,1371,0,0,0,338.900,0.000
2068,2736,4096,4854,7829766,1373,0,0,0,339.300,0.000
2069,2736,4096,4860,7832316,1375,0,0,0,339.700,0.000
2070,2736,4096,4866,7834866,1377,0,0,0,340.000,0.000
2071,2736,4096,4872,7837416,1379,0,0,0,340.300,0.000
2072,2736,4096,4878,7839966,1381,0,0,0,340.600,0.000
