frame,x,y,z,m0,m1,m2,m3,m4,m5,m6,m7,m8
5964,1294f90c,0e4551e7,1356d7b4,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5965,1294f90c,0e4551e7,1356d7b4,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5966,129492f3,0e4551e7,1356e7df,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5967,129492f3,0e4551e7,1356e7df,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5968,12942cc5,0e4551e7,1356f80e,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5969,12942cc5,0e4551e7,1356f80e,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5970,1293c682,0e4551e7,13570840,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5971,1293c682,0e4551e7,13570840,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5972,1293602b,0e4551e7,13571875,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5973,1293602b,0e4551e7,13571875,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5974,1292f9c0,0e4551e7,135728ae,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5975,1292f9c0,0e4551e7,135728ae,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5976,12929341,0e4551e7,135738ea,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5977,12929341,0e4551e7,135738ea,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5978,12922c4a,0e4551e7,13574887,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5979,12922c4a,0e4551e7,13574887,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5980,1291c571,0e4551e8,13575878,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5981,1291c571,0e4551e8,13575878,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5982,12915ea1,0e4551e8,13576898,fe14a03c,80000000,ff74fa16,80000000,00000000,80000000,ff8b05ea,80000000,fe14a03c
5983,12915ea1,0e4551e8,13576898,fe14a03c,80000000,ff74fa16,80000000,00000000,80000000,ff8b05ea,80000000,fe14a03c
5984,1290f711,0e4550dc,1357779c,fe14a03c,80000000,ff74fa16,80000000,00000000,80000000,ff8b05ea,80000000,fe14a03c
5985,1290f711,0e4550dc,1357779c,fe14a03c,80000000,ff74fa16,80000000,00000000,80000000,ff8b05ea,80000000,fe14a03c
5986,12908f8e,0e45460a,135786ce,fe119ded,80000000,ff756da0,80000000,00000000,80000000,ff8a9260,80000000,fe119ded
5987,12908f8e,0e45460a,135786ce,fe119ded,80000000,ff756da0,80000000,00000000,80000000,ff8a9260,80000000,fe119ded
5988,129027a1,0e452851,13579560,fe0e9a2c,80000000,ff75dece,80000000,00000000,80000000,ff8a2132,80000000,fe0e9a2c
5989,129027a1,0e452851,13579560,fe0e9a2c,80000000,ff75dece,80000000,00000000,80000000,ff8a2132,80000000,fe0e9a2c
5990,128fbf9e,0e44f8f5,1357a3cb,fe088e9b,80000000,ff76ba17,80000000,00000000,80000000,ff8945e9,80000000,fe088e9b
5991,128fbf9e,0e44f8f5,1357a3cb,fe088e9b,80000000,ff76ba17,80000000,00000000,80000000,ff8945e9,80000000,fe088e9b
5992,128f56fb,0e44be1a,1357b116,fe0586cb,80000000,ff772420,80000000,00000000,80000000,ff88dbe0,80000000,fe0586cb
5993,128f56fb,0e44be1a,1357b116,fe0586cb,80000000,ff772420,80000000,00000000,80000000,ff88dbe0,80000000,fe0586cb
5994,128eee8e,0e447629,1357be88,fd7ee6fb,80000000,ff77f120,80000000,00000000,80000000,ff880ee0,80000000,fd7ee6fb
5995,128eee8e,0e447629,1357be88,fd7ee6fb,80000000,ff77f120,80000000,00000000,80000000,ff880ee0,80000000,fd7ee6fb
