scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2339,3724,223,1,7,11420,55e0cf9ddf9ba7df,1226.300,4.300,35.300,24.200
2340,3725,224,0,7,7320,55e0cf9ddf9ba7df,1284.000,3.500,9.000,0.300
2341,3726,225,1,7,11420,661c2e96a52fb87b,1421.300,5.700,9.200,4.200
2342,3727,226,0,7,7320,661c2e96a52fb87b,1267.000,3.600,9.200,0.200
2343,3728,227,4,7,23720,7e40d17a09d8d7fc,1418.300,6.400,12.200,15.200
2344,3729,228,0,7,7320,7e40d17a09d8d7fc,1258.100,3.800,9.500,0.300
2345,3730,229,1,7,11420,c32fc3d70dad2f24,1240.000,4.300,8.800,3.900
2346,3731,230,0,7,7320,c32fc3d70dad2f24,1219.500,3.900,9.500,0.200
2347,3732,231,1,7,11420,f6e37ac140f1137c,1217.300,5.000,8.200,4.100
2348,3733,232,3,8,20652,d81ce8f2c8b184c0,1269.000,5.300,8.800,11.900
2349,3734,233,1,8,12452,817d0c0f025da8d0,1379.500,6.000,8.600,4.300
2350,3735,234,0,7,7320,817d0c0f025da8d0,1325.800,4.800,9.600,0.300
2351,3736,235,1,7,11420,7b87be106af82320,1220.800,3.800,8.800,4.100
2352,3737,236,3,8,20652,6cbc909104381513,1246.500,5.500,9.000,11.600
2353,3738,237,1,7,11420,da68e6b5759f6b53,1299.800,4.100,9.100,4.000
2354,3739,238,0,6,6288,da68e6b5759f6b53,1332.900,3.400,8.400,0.100
2355,3740,239,1,6,10388,860e3747e0b5a483,1217.800,5.000,8.100,4.200
2356,3741,240,3,6,18588,fb8e5ef2e3079109,1217.600,4.100,8.500,11.800
2357,3742,241,1,6,10388,4d25c643fc017b59,1246.900,4.500,7.900,4.300
2358,3743,242,0,6,6288,4d25c643fc017b59,1233.400,3.400,8.700,0.200
2359,3744,243,4,6,22688,57bcd4aa657d6f0e,1259.000,4.400,10.300,14.900
2360,3745,244,0,6,6288,57bcd4aa657d6f0e,1218.900,3.600,9.400,0.300
2361,3746,245,1,6,10388,f0a848899a2524f6,1207.200,4.000,10.300,4.000
2362,3747,246,3,6,18588,39dbe878e7c8ca79,1262.000,5.300,9.500,11.400
2363,3748,247,1,6,10388,70c7f66489a2dcf9,1265.000,4.400,9.800,4.200
2364,3749,248,0,6,6288,70c7f66489a2dcf9,1215.400,3.300,7.800,0.200
2365,3750,249,4,6,22688,287524a28f15fe80,1231.100,5.000,9.000,15.700
2366,3751,250,0,5,5256,287524a28f15fe80,1431.500,3.500,8.600,0.300
2367,3752,251,1,5,9356,207ea9b1c783d550,1379.400,4.700,10.600,4.100
2368,3753,252,3,5,17556,9d23aa32e4c8d101,1370.600,5.300,9.800,11.500
2369,3754,253,1,5,9356,6eca59e12bb655f1,1346.700,3.800,10.200,4.100
2370,3755,254,3,5,17556,bffd6a64a1142386,1315.600,4.400,9.800,11.600
2371,3756,255,1,5,9356,524f720ef2f33efe,1254.700,4.700,8.500,4.500
2372,3757,256,0,5,5256,524f720ef2f33efe,1218.000,2.800,9.500,0.200
2373,3758,257,4,5,21656,b433884655cb0588,1369.700,7.900,10.800,75.900
2374,3759,258,0,5,5256,b433884655cb0588,1209.000,3.500,8.800,0.200
2375,3760,259,4,5,21656,af508604939e4bf2,1225.200,5.800,10.100,15.300
2376,3761,260,0,5,5256,af508604939e4bf2,1261.800,3.400,9.100,0.300
2377,3762,261,1,5,9356,76eae2139e29ed72,1220.500,4.600,9.600,4.300
2378,3763,262,3,5,17556,1825e00fa7f252eb,1271.200,4.700,10.100,11.300
2379,3764,263,1,5,9356,1205cc69258e8863,1264.800,4.100,11.300,4.200
2380,3765,264,3,5,17556,7c717687af02a8cc,1505.900,6.600,12.000,11.800
2381,3766,265,1,5,9356,597d6889b0a3875c,1324.400,4.000,9.800,4.200
2382,3767,266,3,6,18588,79cbc0f55d082c42,1359.600,6.000,11.000,11.700
