run,frame,source_us,assembly_us,hash_us,materials_us,snapshot_us,depth_tests,depth_verified,depth_skipped
written-nogl3,3831,973.000,1669.800,165.000,56.900,0.300,0,0,0
written-nogl3,3832,963.400,1715.800,172.100,60.600,0.400,0,0,0
written-nogl3,3833,979.600,1727.400,185.800,55.900,0.400,0,0,0
written-nogl3,3834,946.900,1678.800,194.400,56.400,0.300,0,0,0
written-nogl3,3835,950.800,1709.200,194.900,53.700,0.300,0,0,0
written-nogl3,3836,984.400,1732.900,192.200,57.200,0.400,0,0,0
written-nogl3,3837,1006.400,1894.200,199.700,62.200,0.400,0,0,0
written-nogl3,3838,973.000,1749.200,201.800,55.400,0.300,0,0,0
written-nogl3,3839,994.200,1765.200,199.300,59.800,0.500,0,0,0
written-nogl3,3840,1062.100,1743.800,207.800,56.900,0.500,0,0,0
written-nogl3,3841,989.200,1795.000,208.100,66.600,0.300,0,0,0
written-nogl3,3842,959.300,1760.800,207.600,59.400,0.400,0,0,0
written-nogl3,3843,961.900,1858.800,208.700,65.800,0.600,0,0,0
written-nogl3,3844,963.000,1790.600,215.000,58.700,0.200,0,0,0
written-nogl3,3845,945.000,1786.000,215.600,58.700,0.400,0,0,0
written-nogl3,3846,949.700,1805.900,216.700,62.700,0.600,0,0,0
written-nogl3,3847,966.800,1835.500,235.500,63.800,0.600,0,0,0
written-nogl3,3848,987.300,1845.300,230.800,66.300,0.500,0,0,0
written-nogl3,3849,988.800,1844.900,217.600,65.700,0.700,0,0,0
written-nogl3,3850,949.400,1870.600,222.400,59.600,0.500,0,0,0
written-nogl3,3851,923.200,1873.500,233.200,65.000,0.500,0,0,0
written-nogl3,3852,932.100,1813.000,233.100,63.300,0.400,0,0,0
written-nogl3,3853,956.700,1862.000,230.500,59.700,0.400,0,0,0
written-nogl3,3854,941.700,1840.900,245.500,61.500,0.400,0,0,0
written-nogl3,3855,954.000,1845.300,246.600,89.500,0.300,0,0,0
written-nogl3,3856,955.300,1830.800,244.200,54.900,0.500,0,0,0
written-nogl3,3857,955.700,1918.600,240.300,69.300,0.500,0,0,0
written-nogl3,3858,1068.600,1891.300,242.300,60.100,0.500,0,0,0
written-nogl3,3859,1010.200,1862.500,251.100,67.200,0.300,0,0,0
written-nogl3,3860,957.300,1980.100,251.300,60.100,0.300,0,0,0
written-nogl3,3861,1502.000,1975.200,261.900,58.100,0.200,0,0,0
written-nogl3,3862,978.800,1912.200,270.300,61.100,0.300,0,0,0
written-nogl3,3863,974.200,2058.000,271.800,68.500,0.900,0,0,0
written-nogl3,3864,1041.200,1931.900,269.500,59.500,0.300,0,0,0
written-nogl3,3865,974.400,1897.500,275.900,61.000,0.400,0,0,0
written-nogl3,3866,981.700,2118.500,281.800,67.400,0.500,0,0,0
written-nogl3,3867,948.300,1882.400,270.700,61.400,0.300,0,0,0
written-nogl3,3868,970.900,1959.000,279.200,79.100,0.400,0,0,0
written-nogl3,3869,962.900,1943.500,279.200,60.400,0.100,0,0,0
written-nogl3,3870,1078.600,2057.100,280.000,67.800,0.300,0,0,0
written-nogl3,3871,1071.500,1930.000,279.300,76.900,0.500,0,0,0
written-nogl3,3872,969.600,2026.800,279.900,65.600,0.400,0,0,0
written-nogl3,3873,1025.900,1885.600,279.200,60.300,0.400,0,0,0
written-nogl3,3874,949.500,1895.500,279.700,64.800,0.700,0,0,0
written-nogl3,3875,964.400,1894.400,279.300,62.800,0.400,0,0,0
written-nogl3,3876,1055.200,1930.600,283.300,60.200,0.400,0,0,0
